,0,1
0,2.1232088,-2.1200686
1,2.3324845,-2.4866078
2,1.0730243,-1.072111
3,2.4028995,-2.2623255
4,2.6143382,-2.666153
5,1.3603932,-1.3130062
6,1.7314458,-1.7195745
7,2.4931395,-2.5637412
8,0.69696087,-0.80104923
9,3.6564436,-3.695292
10,3.9074645,-3.9882078
11,1.8624003,-1.8399874
12,4.0474505,-3.8983755
13,4.5565343,-4.450096
14,2.484445,-2.5280278
15,2.9400952,-2.763368
16,4.125467,-4.1801195
17,1.4573942,-1.6483569
18,3.1440976,-3.150488
19,3.630172,-3.6939385
20,1.8492742,-1.846825
21,3.3237913,-3.1972272
22,4.250185,-4.165023
23,2.4482493,-2.530853
24,2.4373124,-2.224697
25,3.994595,-4.098081
26,1.5280107,-1.7486353
27,2.808518,-2.8178673
28,3.6688104,-3.7062032
29,2.1807287,-2.2187808
30,2.7402241,-2.6651378
31,4.2651253,-4.1897097
32,2.7827587,-2.9270358
33,2.1125088,-1.8774269
34,4.120314,-4.3076353
35,1.8603188,-2.045956
36,1.9251956,-1.8632696
37,2.7686658,-2.8866303
38,2.0183318,-1.9693612
39,1.3069676,-1.2631464
40,3.081814,-3.0087986
41,2.333747,-2.4726906
42,0.66355824,-0.47136313
43,3.046513,-3.2656822
44,1.6222607,-1.6511171
45,1.8773869,-1.8149586
46,2.4766138,-2.5377192
47,1.69067,-1.5896176
48,1.0505264,-0.90578985
49,2.6145298,-2.5652857
50,1.9075947,-1.960801
51,-0.4655501,0.57482326
52,2.312085,-2.5661054
53,1.2129505,-1.1772938
54,1.6140504,-1.6487727
55,2.412743,-2.4023771
56,1.5959849,-1.5169019
57,0.9407095,-0.8249559
58,2.4838896,-2.4494588
59,1.9166968,-1.9296385
60,-0.67181075,0.7200408
61,2.2358491,-2.371042
62,1.1561972,-1.1698354
63,1.7757736,-1.8089044
64,2.6045215,-2.6751635
65,1.7606987,-1.6966907
66,1.4414617,-1.290484
67,2.8402543,-2.7892115
68,2.1416867,-2.2013247
69,0.45351624,-0.35135522
70,2.71121,-2.8182259
71,1.3312032,-1.4325473
72,2.451665,-2.460165
73,2.8632696,-2.957679
74,1.5580975,-1.5389198
75,2.4833279,-2.2993212
76,3.2818394,-3.2486722
77,2.1394165,-2.2212565
78,1.787226,-1.5929357
79,3.2631626,-3.355478
80,1.2937919,-1.4509212
81,2.699463,-2.6773095
82,2.8354144,-2.881703
83,1.3478113,-1.3821653
84,2.766604,-2.648675
85,3.2350183,-3.1842444
86,1.9700601,-2.0452774
87,2.000019,-1.7865396
88,3.2193012,-3.3161745
89,1.1941494,-1.341944
90,2.7894742,-2.8021417
91,2.7464647,-2.718664
92,1.1791496,-1.2464868
93,2.8437526,-2.7550576
94,3.0531635,-3.0264504
95,1.7740486,-1.8157276
96,2.1961937,-1.9982941
97,3.0853078,-3.184112
98,1.0254848,-1.227318
99,2.74446,-2.7849874
100,2.6343846,-2.5923612
101,1.121366,-1.1933341
102,2.893803,-2.7802756
103,2.8543434,-2.8626463
104,1.6233675,-1.6530683
105,2.268286,-2.107374
106,2.8868496,-2.9749448
107,0.9108891,-1.1007707
108,2.5307148,-2.5549126
109,2.1920176,-2.1900835
110,0.7800048,-0.8593624
111,2.8775694,-2.7441525
112,2.524846,-2.5628285
113,1.2068592,-1.238304
114,2.34327,-2.196132
115,2.6794522,-2.7067475
116,0.63457114,-0.7898986
117,2.5552564,-2.5726323
118,2.1860032,-2.1854877
119,0.78221077,-0.83398134
120,2.8927348,-2.7664871
121,2.5160456,-2.5407987
122,1.1662928,-1.2062135
123,2.3524878,-2.211214
124,2.6581748,-2.665205
125,0.6011225,-0.7537379
126,2.637255,-2.6546922
127,2.4121132,-2.4213176
128,0.9965525,-1.0287039
129,2.9961696,-2.856973
130,2.766767,-2.786677
131,1.389556,-1.4271811
132,2.376458,-2.2223566
133,2.8907979,-2.888341
134,0.7629141,-0.92307705
135,2.5582092,-2.5584092
136,2.5036364,-2.556759
137,1.1986724,-1.2162446
138,2.945401,-2.7823014
139,2.8924146,-2.9173703
140,1.5674971,-1.5995079
141,2.2941062,-2.1322455
142,3.036832,-3.019528
