,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.51853347,1.4097726,0.76470417,1.0428687,0.9266585,0.8810781,0.9426844,0.9169961,0.85886306,0.8117199,0.80187416,0.92141706,0.9681215,0.93874043,0.7820583,0.6753444,0.87104005,1.2345134,1.290746,1.1209664,0.9352772,0.8561116,0.8406051,0.91209716,0.92727715,0.9042033,0.9061937,0.91132087,0.9151474,0.9079846,0.8961787,0.8835965,0.872679,0.86430544,0.8661997,0.85775125,0.8419289,0.82290846,0.8265965,0.8508261,0.9468888,1.086923,1.2977957,1.4175638,1.3551509,0.9416903,0.71363825,0.67354774,0.7486446,0.246862
1,0.80982983,1.813658,1.7210312,2.0540562,1.7608196,1.6434722,1.4270153,1.2436804,1.115787,1.1451225,1.1112947,1.1495315,1.0116341,1.2580726,1.2400005,1.0600554,1.1759721,1.4168284,1.6681019,1.6464816,1.3731992,1.1577011,1.1494075,1.2004364,1.1971294,1.1622545,1.1466517,1.159792,1.2040213,1.2434777,1.2563766,1.2769895,1.2935911,1.3148599,1.3364044,1.3175958,1.2522523,1.1962112,1.1563697,1.109055,1.0914422,1.2095169,1.5202335,1.7043637,1.5199262,1.414185,1.3318155,1.199626,0.9053645,0.50968874
2,0.3952489,1.2634808,1.220638,1.8376938,1.716715,1.6848744,1.4660249,1.3579906,1.388255,1.5059129,1.3243688,1.3562168,1.0370255,1.0571966,1.2097675,1.2855027,1.5722266,1.9095014,1.9731874,1.7915822,1.4959131,1.1865413,1.205592,1.3709813,1.4388613,1.4127886,1.3705912,1.3152621,1.2482939,1.2231096,1.2175771,1.1923405,1.1564759,1.1934906,1.2789412,1.3702078,1.4066377,1.4035808,1.4419929,1.4631727,1.4546688,1.6247205,1.8713846,2.0587888,2.207406,2.1371565,2.0722055,1.9534223,1.3653333,0.9509127
3,0.0,0.042732615,0.0,0.45213848,0.74779093,1.1340709,0.95864266,0.741409,0.8068054,0.8630337,0.83176816,0.73215735,0.54670525,0.40950137,0.16455655,0.34777573,0.64009476,1.1484231,1.1921989,0.8941635,0.6267287,0.26205245,0.23141307,0.37650275,0.49214032,0.55974555,0.5966968,0.6415068,0.70630825,0.812678,0.9140802,0.88255006,0.71494687,0.6338875,0.62773883,0.65365434,0.70646936,0.72205764,0.8364703,0.6934822,0.4957448,0.8627242,1.2106481,1.1685724,1.0782603,1.2772667,1.2963514,1.2074449,0.80810726,0.76129603
4,0.0,0.5238565,0.0,0.025541853,0.43081194,1.2355539,0.9888322,0.66535735,0.898341,1.2283931,1.0412314,1.1518062,1.0233097,0.85079086,0.3898426,0.32761183,0.7845513,1.1213279,1.0637891,0.8229072,0.7653446,0.58346295,0.419275,0.3690085,0.52025974,0.739804,0.76288074,0.6872418,0.653978,0.7705073,0.8672061,0.80814034,0.5275866,0.33455643,0.39769498,0.57673717,0.741457,0.98226845,1.3075464,1.169469,0.8232036,0.82004106,0.74902594,0.83623356,0.88858277,0.97976524,1.096013,1.2755454,0.7402955,0.5535493
5,0.0,0.0304599,0.0,0.0,0.0,0.61626387,0.6497877,0.3080757,0.53444993,0.77451235,0.59737337,0.6656987,0.50457346,0.09778625,0.0,0.0,0.23240028,0.43660432,0.42903522,0.5777157,0.7745609,0.9509233,0.8731871,0.922357,1.0555459,1.2439747,1.1174699,0.7048877,0.45057836,0.3597545,0.3838579,0.44271874,0.16701375,0.037202943,0.1273382,0.25463867,0.3048626,0.6248753,0.8905183,0.9710194,0.9559863,0.9100112,0.94021934,0.673506,0.120006606,0.0,0.24260493,0.73287976,0.6488126,0.4667374
6,0.0,0.0,0.0,0.0,0.0,0.29848048,0.34602055,0.28635183,0.582091,0.87810826,0.7506461,0.5401678,0.0,0.0,0.0,0.0,0.09207979,0.07784176,0.21138674,0.36230007,0.45598814,0.8307365,0.9757868,1.1510983,1.1397525,1.1472898,0.6356506,0.26494735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000753589,0.061031375,0.23128137,0.30885726,0.47445744,0.59237474,0.9018702,0.8725116,0.552763,0.20088322,0.0,0.03209731,0.47799703,0.6616144,0.32530817
7,0.0,0.28009936,0.09870899,0.0,0.0,0.3637056,0.3873404,0.36782846,0.49246407,0.73253167,0.9306911,0.6729798,0.40172085,0.2434123,0.02512281,0.0,0.36788806,0.41503182,0.5182761,0.59171295,0.32945558,0.33036345,0.40004766,0.55740625,0.6866917,1.0343306,0.9723959,0.84484386,0.51151645,0.24095295,0.20402062,0.0,0.0,0.0,0.0,4.3515116e-05,0.0,0.0,0.0,0.20235163,0.69606245,1.1882313,1.3829607,1.1519859,0.75291675,0.27423897,0.35070843,0.5453962,0.7076532,0.5042526
8,0.08057687,0.6645197,0.6756101,0.6466049,0.35002294,0.6824423,0.293552,0.0902618,0.0,0.13000745,0.72603655,0.5558987,0.6356611,0.8985212,0.96600294,0.93145466,1.1382288,1.1125083,0.90226716,0.91531414,0.90569353,0.7060079,0.48042747,0.4887478,0.6480562,1.0112187,1.1472276,0.93069494,0.7650946,0.52788234,0.5150222,0.38910288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30005577,0.79555774,1.536656,1.2272464,0.88239145,0.27206612,0.292075,0.10959549,0.43453088,0.4916567
9,0.36462584,1.3311338,1.4368378,1.184838,0.6387121,0.48744264,0.0,0.0,0.0,0.0,0.061695237,0.37877193,1.0736969,1.2773163,1.420151,1.4207115,1.484739,1.3697351,1.1090043,1.0405487,1.1043432,1.0965633,0.76603055,0.2991037,0.42407194,0.6651573,0.69073945,0.7367325,0.80941904,0.74799204,0.6943408,0.22385938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09425217,0.558178,0.6013693,1.097475,0.6236657,0.082789645,0.0,0.044282757,0.23168634,0.5385991,0.3995022
