,0,1,2,3
0,110.388565,523.6221,491.7937,679.84326
1,149.09457,505.23273,525.90405,695.1225
2,196.16255,481.06998,486.42322,720.02783
3,111.19568,115.35571,600.0,655.04175
4,112.34837,0.0,589.51117,767.7373
5,200.62811,665.8196,272.86002,751.7649
6,130.53856,25.03875,361.1466,220.0794
7,204.26941,325.97015,251.40363,384.1554
8,156.27402,568.3249,405.24246,659.3647
9,0.0,172.8544,600.0,613.1188
10,162.2225,518.0058,289.62405,587.0992
11,208.36572,304.09985,253.26248,367.4817
12,226.1332,307.42123,267.69714,357.18454
13,122.933266,562.09546,279.8784,640.938
14,160.70091,57.130054,378.72437,157.84741
15,211.05733,319.04443,259.17554,381.6029
16,126.085785,32.211327,504.5541,206.61475
17,132.78023,48.22827,426.57153,201.23169
18,213.89381,292.2472,258.84164,361.42224
19,217.80527,295.05356,251.11716,347.31564
20,219.89453,318.98297,262.45703,369.0569
21,217.12117,305.6834,258.6246,368.27338
22,149.73456,564.80164,348.33673,646.71533
23,102.480225,483.8884,600.0,729.74695
24,150.14172,12.353607,397.01794,249.55167
25,224.20721,301.90152,258.7232,353.6865
26,92.21164,211.54477,600.0,752.11206
27,141.8646,547.5974,307.02078,633.40735
28,144.81091,48.403107,339.8594,258.38605
29,148.7448,476.69336,436.38068,718.5492
30,148.6914,528.2023,303.2589,610.09424
31,25.085052,445.46378,600.0,693.94495
32,127.96559,549.0285,427.31262,676.7131
33,144.03784,517.9103,277.21555,625.29297
34,86.60669,0.0,600.0,279.2067
35,217.64838,315.88693,252.39905,362.62943
36,62.47754,0.0,561.27325,367.31818
37,190.35925,445.68127,229.75677,501.3346
38,162.62117,48.592133,353.49133,188.63316
39,74.550385,435.63495,600.0,790.2037
40,198.06325,445.6618,242.65703,504.11035
41,196.6275,358.08215,253.8899,429.01593
42,182.55544,24.337135,596.4418,228.15308
43,221.688,293.5662,256.69452,337.09952
44,199.05276,653.95795,285.79282,744.6036
45,173.16898,515.50507,278.4217,576.7067
46,186.0048,251.00853,521.7409,567.9903
47,227.68646,302.7453,263.28467,347.6725
48,143.72025,523.2041,233.18668,629.2062
49,199.10072,327.90012,242.08327,381.84964
50,0.0,300.73804,600.0,708.6575
51,180.07648,526.7389,297.74878,579.68884
52,209.51738,293.6368,249.99916,358.84177
53,104.27992,58.690758,398.89532,224.16519
54,203.46362,304.17245,241.58078,365.54922
55,8.478516,0.0,191.4564,488.29297
56,130.33723,531.8454,251.61543,645.0317
57,141.4913,553.2422,259.29303,631.6033
58,65.43945,0.0,543.49274,551.016
59,290.11328,194.17728,600.0,800.0
60,149.39627,49.51069,305.8748,186.10944
61,0.0,0.0,351.16992,601.5581
62,220.33797,297.32214,263.2569,340.68744
63,215.38008,677.40326,284.82434,756.2348
64,91.04367,494.5548,479.97177,661.2074
65,161.62808,0.0,368.05228,338.7738
66,208.10472,447.00412,251.92686,504.90488
67,196.69456,347.0339,252.41856,397.53494
68,231.16177,315.20892,270.8101,360.72375
69,133.84833,565.6148,241.05234,632.87274
70,223.35982,280.63495,263.92303,324.83295
71,202.53445,314.4816,249.573,370.36996
72,107.24368,399.6068,600.0,715.67737
73,105.46843,570.69617,425.87793,698.2892
74,229.47647,297.89902,269.1211,340.2576
75,191.62727,366.15985,241.43492,429.30457
76,191.04425,521.2368,285.8068,565.53296
77,191.90166,525.09143,320.1496,583.37317
78,229.35019,289.69092,260.58215,342.30377
79,211.92407,323.2555,267.62347,391.7638
80,0.0,117.95955,223.5106,384.9411
81,167.5346,532.8674,327.05746,603.99286
82,144.1628,540.22925,216.15388,631.277
83,194.34615,628.3673,283.57504,736.974
84,208.38449,336.12302,255.45175,390.42667
85,0.0,45.941452,422.26636,406.71234
86,211.51447,349.32202,260.70374,424.35046
87,247.77966,3.8398132,600.0,796.1832
88,196.56006,640.9459,265.358,738.952
89,148.33168,74.82454,371.11243,185.00026
90,129.92596,493.5677,380.21912,705.7879
91,143.64575,0.0,469.33386,277.38855
92,0.0,134.63867,323.92838,800.0
93,167.89703,64.567825,367.41785,130.89745
94,396.93796,128.38956,600.0,800.0
95,203.49435,501.94562,600.0,703.3575
96,254.93915,501.86343,513.079,734.81134
97,188.51184,380.97052,237.14804,443.3432
98,0.0,572.7999,341.5575,800.0
99,173.86389,540.66425,388.67786,635.6757
100,239.91147,434.89526,600.0,800.0
101,213.79483,342.68155,267.7516,401.8107
102,266.12714,127.555664,600.0,520.8969
103,218.04095,298.61707,267.5173,364.63055
104,0.0,14.379883,532.7322,247.12387
105,227.68015,279.79535,267.25778,339.99646
106,388.4704,0.0,600.0,692.2178
107,191.6094,380.1764,254.0282,435.9345
108,237.05316,0.0,569.6002,262.0704
109,161.07446,338.67438,600.0,761.5599
110,4.8616333,524.7113,574.1387,733.6101
111,0.0,34.597137,600.0,324.31842
112,0.0,29.935577,600.0,462.0515
113,174.31693,0.0,600.0,601.375
114,226.0671,314.21088,262.21936,378.83374
115,143.4437,584.02515,355.9208,654.9038
116,155.04855,528.3422,318.04636,639.6927
117,149.25192,291.84616,542.09094,536.03064
118,188.3414,535.18066,376.23117,661.27454
119,0.0,535.0167,254.18088,800.0
120,376.0103,0.0,600.0,500.6397
121,0.0,387.54816,236.14285,800.0
122,264.60843,205.58134,600.0,594.4783
123,273.0786,303.20087,600.0,717.62946
124,252.05823,605.4225,600.0,800.0
125,147.31548,540.6967,329.5307,658.884
126,190.73264,425.45737,247.36948,490.12704
127,180.03075,545.55774,461.39142,659.2588
128,174.69478,496.2771,570.20233,665.7488
129,198.21959,727.60754,265.5876,773.43494
130,220.80176,658.8552,282.0638,748.86707
131,348.65643,76.44353,600.0,572.049
132,0.0,5.2142944,331.71295,446.72205
133,302.25946,0.0,600.0,176.13695
134,152.75433,86.66493,318.28323,233.78874
135,93.47638,133.49036,600.0,517.67285
136,228.67003,332.4398,274.64783,380.28616
137,117.06272,487.28632,332.53687,673.3902
138,276.7555,0.0,600.0,363.65247
139,198.18222,503.36377,268.23312,549.474
140,351.94348,340.39893,600.0,800.0
141,176.87857,513.6085,316.9224,618.66797
142,257.7276,49.52652,600.0,434.53217
143,216.78177,451.00476,259.92114,502.56622
144,165.23732,543.3048,351.79858,676.89307
145,178.53882,105.02055,314.62436,245.1653
146,208.0022,372.98904,257.48123,443.6063
147,148.71457,65.87974,277.62512,176.79706
148,249.01938,415.36432,491.27554,781.29095
149,219.1281,329.4123,269.0086,372.1327
150,106.79158,40.037926,542.1689,242.45102
151,134.29024,40.921738,469.8307,170.71901
152,189.81853,341.24734,236.86409,394.88864
153,213.78085,498.60153,274.57333,538.9077
154,205.9747,55.530632,371.7283,173.70566
155,191.43295,356.10675,248.0604,411.0866
156,180.28784,396.0416,235.1914,451.39774
157,190.28911,649.245,291.2077,722.1902
158,172.76959,361.01788,227.16693,428.91064
159,180.5064,340.10193,230.84944,396.88312
160,217.89081,283.25388,261.9411,333.90726
161,364.68915,531.6792,600.0,800.0
162,181.92227,409.0113,232.47128,460.963
163,1.4336548,514.5223,600.0,800.0
164,209.83615,731.4702,275.8201,777.7549
165,182.95471,456.35846,225.44492,514.17316
166,191.3078,406.30344,251.30844,457.82028
167,177.06723,532.589,383.11423,609.41895
168,205.58502,345.6407,268.63464,418.81635
169,0.0,82.046555,479.60223,484.34363
170,188.18816,64.22214,417.48505,165.66786
171,202.36304,357.36566,259.85782,416.45782
172,182.64616,422.3451,228.20119,485.29425
173,103.046265,140.04007,505.518,800.0
174,202.68355,406.6266,255.99251,462.58002
175,202.26855,430.6816,253.91333,496.29385
176,0.0,460.57083,530.3991,739.5283
177,158.89085,520.35345,241.93394,602.20306
178,183.63783,502.07376,260.4162,559.4403
179,350.36136,0.0,600.0,244.05331
180,208.59802,506.66418,284.4813,556.16113
181,156.52264,536.75446,383.1095,735.09625
182,159.55127,530.99084,257.06946,609.8589
183,372.83008,251.49286,600.0,741.7916
184,215.13736,430.3609,258.95435,493.2539
185,197.48904,473.1,247.80478,522.66974
186,64.40994,544.70355,387.0613,681.4908
187,355.82654,166.61125,600.0,667.6248
188,208.55493,480.70566,258.33066,529.61444
189,200.68765,685.9427,288.25867,747.78314
190,187.24225,515.9601,277.60468,556.89856
191,205.21036,495.95984,262.49347,533.0166
192,215.9129,481.5649,266.56818,521.9067
193,126.18158,552.30475,230.3187,642.2668
194,217.4427,643.3631,288.36063,739.2729
195,196.09235,496.8256,254.38757,534.70087
196,218.99461,472.75394,264.6709,517.2425
197,0.0,0.0,342.15622,171.54132
198,94.94473,507.4578,381.50897,658.4801
199,239.22461,307.98822,283.16364,353.21533
200,208.8806,361.91998,269.7827,412.0373
201,197.16699,514.4486,312.18967,565.74084
202,188.37546,470.85342,235.999,528.8833
203,232.88269,292.72946,272.2088,349.25797
204,81.1857,35.498108,410.7147,182.32088
205,181.03809,58.414845,345.2964,168.88542
206,138.51312,226.55537,600.0,607.18787
207,204.08545,514.5279,279.29062,549.1796
208,229.45404,290.38867,272.40552,331.75214
209,237.7224,294.41977,280.4556,338.4727
210,250.45749,57.71399,562.46716,211.31665
211,175.83665,383.80225,221.01198,453.07098
212,165.01855,60.67327,334.25534,217.1011
213,136.50308,66.44716,398.85416,146.42674
214,197.99286,441.8209,248.76779,494.32516
215,205.15271,513.9317,290.2959,578.37665
216,24.970398,348.8984,547.5912,789.3804
217,211.52887,402.4293,260.15292,468.7734
218,138.11497,536.94666,451.53302,645.7622
219,214.04361,310.6223,245.06796,365.3424
220,226.14714,347.96234,278.80203,400.6455
221,378.57288,0.0,600.0,330.75073
222,123.39607,0.0,506.55182,462.0231
223,136.52719,0.0,324.8549,368.7239
224,0.0,635.85,579.5239,800.0
225,178.91423,630.38794,267.67902,739.4524
226,205.51622,414.0694,266.60022,469.1087
227,122.05081,454.7595,368.52805,680.69806
228,134.30853,583.8096,600.0,800.0
229,290.46216,508.0366,600.0,800.0
230,177.99036,355.84747,236.39938,415.2895
231,234.93576,302.82025,276.36118,361.82092
232,140.9158,45.73983,260.07184,188.61478
233,97.11511,0.0,600.0,190.91574
234,142.8134,558.69867,228.91676,622.6347
235,243.74365,471.97528,575.7945,739.42365
236,223.70355,198.10364,472.41486,614.71576
237,210.4684,320.2716,244.82741,371.57294
238,186.31506,326.5422,234.70645,386.19534
239,269.86337,516.1806,440.32138,680.4819
240,247.36597,534.761,460.98425,635.7313
241,170.02547,226.56421,554.14935,800.0
242,103.039345,510.818,347.92593,720.7278
243,188.30655,516.082,256.55933,566.8201
244,233.84102,271.94357,280.76794,329.3795
245,135.48761,77.29096,435.79572,238.37885
246,148.3649,532.89734,204.7608,598.6061
247,193.55367,447.75668,238.23515,496.53653
248,192.46872,611.90656,299.05402,716.98627
249,124.088806,543.5578,343.55783,747.94244
250,246.87923,129.78702,600.0,667.7561
251,10.380127,283.0181,432.9532,800.0
252,191.09882,737.03143,278.40576,780.7873
253,189.03424,497.5264,245.5368,540.0298
254,132.43317,593.28357,381.03772,672.1051
255,185.95197,0.0,422.26343,327.01736
256,197.89151,378.78836,268.09018,451.9014
257,202.93893,696.5053,278.79404,751.179
258,169.15031,541.1444,246.60439,611.0342
259,0.0,0.0,325.26016,259.5442
260,130.85306,532.20557,203.92651,611.6571
261,189.71378,297.2227,237.08005,353.93716
262,206.54396,493.39243,271.13428,527.69495
263,136.71956,85.90907,359.1801,206.8001
264,156.131,509.24353,257.79803,576.31213
265,197.52116,83.512726,334.20007,239.5672
266,168.05568,523.2729,231.41585,586.76227
267,195.51945,515.80334,298.85608,611.67676
268,190.93909,9.979141,340.00458,335.71802
269,169.65508,520.799,223.39595,568.84406
270,154.71597,82.91462,346.52777,290.6616
271,237.95004,277.1946,288.25308,325.50058
272,127.635895,85.8557,600.0,447.87903
273,216.5228,270.3952,256.24762,320.5766
274,124.402176,559.68384,213.26674,631.2748
275,207.8641,716.46106,273.7971,764.9673
276,0.0,550.21204,461.3307,800.0
277,194.19046,315.4806,236.29556,366.38837
278,176.28671,411.08475,217.91498,469.47208
279,169.77686,396.10797,216.50974,467.13086
280,98.62282,588.7969,436.945,728.4469
281,508.4908,234.70349,600.0,746.0247
282,81.15242,0.0,397.63263,598.31805
283,222.2844,470.2673,276.80673,509.56906
284,198.21828,400.61148,266.9788,462.25137
285,0.0,405.86172,394.21948,800.0
286,171.31299,507.07285,251.44617,568.1182
287,171.4804,634.12573,326.33942,698.1361
288,207.23434,528.997,476.92245,645.3123
289,194.73215,729.8913,255.83322,779.5141
290,161.04759,101.40865,367.34546,197.88898
291,210.19481,376.35327,271.39584,430.58386
292,0.0,0.0,237.34657,352.7466
293,224.31792,261.0778,276.35406,308.4863
294,298.47302,0.0,600.0,611.9272
295,0.0,127.809845,263.75482,303.15637
296,157.22037,386.43427,386.31223,760.14923
297,175.01384,428.075,219.77751,492.326
298,142.02611,28.301453,317.43298,205.35005
299,203.05545,477.80954,274.44272,526.65216
