,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3.6743593,-2.1546729,-0.17521808,-0.16099724,-1.63548,-2.0105643,-1.2706804,1.3059165,0.47396508,0.28236207,-0.11409584,-3.3643548,2.1853344,3.529162,1.0225894,9.548094,-2.6065462,-1.2516901,-2.0326183,-2.5225198,-2.3613644
1,3.0558567,-2.1947463,0.5310483,-0.23685567,-1.5212551,-1.8992091,-1.558949,0.45988622,0.082134046,0.15024304,0.17613888,-3.437086,2.6226041,3.928338,1.0288291,9.541798,-2.5518801,-0.76227236,-1.9015629,-2.6071994,-2.8887773
2,3.5219011,-2.436578,1.1452477,-1.6256993,-1.4430377,-2.0390265,-0.9136476,1.523796,0.18314081,-0.5674373,-0.37659386,-2.956505,1.4630445,4.072113,1.8257959,8.738677,-2.0047464,-1.21033,-2.003376,-1.7465962,-3.0822303
3,8.545983,0.82624644,-0.7158116,-4.2291403,2.4896095,-3.408522,-1.309392,0.8903683,-2.3519573,-1.1679957,-1.8975061,3.205389,-0.27418515,1.7615199,-1.007298,1.9410355,-1.187046,-2.4701357,0.76807266,-1.4057394,-0.60802823
4,9.785102,1.7211142,-0.800214,-5.1502366,3.4976025,-4.211616,0.24880633,2.3262308,-3.0636396,-2.0386438,-2.1005197,2.2291424,-2.371827,2.5135734,-0.75024635,2.250608,-0.91646916,-3.5787206,1.0870572,0.3339517,-1.7693473
5,5.9659686,-0.9987835,-0.8347699,-2.5846841,-0.64656067,0.55916435,1.54165,10.581427,-2.0742419,-0.021294326,-1.6821368,-2.2173145,-2.352378,-2.219227,0.79854596,-0.6550644,0.018829796,-0.7604215,-0.04767884,-1.0239052,-0.24776588
6,6.7581735,-0.8058361,-1.3788025,-0.055798054,-0.6825639,-1.3471749,-0.48835343,1.5819942,-1.0197831,0.1919972,-2.52703,-2.6145418,-0.64515704,-0.6171131,-0.79337436,10.7137575,-1.4123367,-2.017664,-0.539008,-1.8916425,-0.7631225
7,9.732972,-0.25637504,-0.23542003,-3.4351206,-1.502688,0.019704238,0.5898593,9.260092,-3.9542322,-1.1233927,-2.8896122,-0.21332482,-3.004347,-2.5223432,2.2444668,3.3140376,0.10807982,-2.3720243,-0.20255461,-1.3330489,-2.6710558
8,6.625074,-2.9719973,-0.46457037,-0.74295956,-2.2991142,0.14837936,-1.4656842,1.742843,0.40975383,0.34748298,-0.96017706,-3.1720922,1.8617935,2.3416152,-0.22140563,7.951318,-2.1104152,-0.58241594,-2.3947408,-2.4557528,-1.4173019
9,12.129931,2.0288591,-1.8175504,-3.6892707,2.5128353,-2.523444,-1.1924217,-0.04681528,-3.0659246,-1.7871592,-2.012513,1.756454,-0.91932327,0.47645578,-1.3443413,1.2592483,-0.9622698,-2.3432798,0.45677048,-0.41213247,-0.98475134
10,6.1531477,-2.1764219,-0.96207035,-2.1290007,-0.9635035,1.8983016,-0.010083944,1.07715,-1.709875,-0.2144624,-0.537064,-1.3661907,-0.26757,-0.6036013,-1.3360113,7.1242046,-1.0822108,-2.1726115,-0.7645399,-0.8521109,1.1465504
11,8.523742,0.7954546,-0.2298279,-3.006969,-1.2247145,0.13833913,0.42968434,10.359553,-3.796662,-1.0229646,-2.7451982,-0.87752515,-3.0656674,-2.9060957,2.748382,2.2190077,0.23360583,-2.4115071,0.06652846,-1.0669662,-2.4037933
