,0,1
0,3.8677487,-3.9707546
1,2.9987152,-3.2232046
2,0.811217,-0.90394455
3,3.9509122,-3.7629106
4,2.863771,-3.0234594
5,1.1346549,-1.0025615
6,3.5808496,-3.3805747
7,2.6983109,-2.6945744
8,0.18514483,-0.28135952
9,6.5312247,-6.6957736
10,5.0724416,-5.217815
11,0.97908705,-1.0297176
12,7.1871815,-6.9384384
13,5.445252,-5.412271
14,1.7926087,-1.6580462
15,6.3068156,-6.047115
16,4.6561213,-4.657642
17,0.51198316,-0.653784
18,5.0151606,-5.0945935
19,4.327349,-4.361355
20,0.94149584,-1.038712
21,5.551383,-5.3277345
22,4.6685,-4.667559
23,1.4573834,-1.4912797
24,5.0659537,-4.909265
25,4.2691107,-4.1245055
26,0.50252765,-0.7480269
27,5.4074903,-5.4145265
28,5.6962028,-5.7324123
29,1.8538415,-1.9308828
30,5.900427,-5.544705
31,5.678369,-5.631895
32,2.0840483,-2.1481304
33,5.058792,-4.877477
34,4.7008657,-4.7326236
35,0.9857196,-1.3362114
36,4.6603003,-4.7359533
37,5.1228013,-5.1544256
38,1.8383148,-1.8800229
39,5.469317,-5.0711226
40,5.2957463,-5.2863874
41,1.9517281,-2.0112708
42,4.5060706,-4.3597555
43,4.333634,-4.3929687
44,0.99801844,-1.3289665
45,4.580249,-4.6778
46,4.888408,-4.9233327
47,1.6814862,-1.746758
48,5.524894,-5.1535296
49,5.153608,-5.2127376
50,1.8027287,-1.8603
51,4.4781737,-4.370729
52,4.217834,-4.2639613
53,0.8956673,-1.2266507
54,4.669756,-4.7588854
55,4.8650517,-4.921759
56,1.5910596,-1.6846966
57,5.603358,-5.2573047
58,5.1181593,-5.207903
59,1.7326517,-1.8007623
60,4.5270596,-4.456434
61,4.177108,-4.23076
62,0.82417315,-1.1453668
63,4.6177807,-4.6981463
64,4.7695484,-4.831494
65,1.5237184,-1.6163148
66,5.5108685,-5.176485
67,4.9811234,-5.0765433
68,1.6491911,-1.722518
69,4.444179,-4.3812046
70,4.0607476,-4.1167784
71,0.7493136,-1.0651238
72,4.376931,-4.4441667
73,4.458478,-4.516568
74,1.4630966,-1.5414194
75,5.201172,-4.880198
76,4.6714916,-4.77774
77,1.5366056,-1.6041636
78,4.124928,-4.070064
79,3.8152182,-3.8649218
80,0.6930699,-0.97267336
81,4.2662554,-4.3367524
82,4.284434,-4.3368483
83,1.4732955,-1.5305294
84,5.060195,-4.7704926
85,4.564718,-4.676958
86,1.5190886,-1.5800037
87,3.920716,-3.8580358
88,3.6998794,-3.7396674
89,0.66644835,-0.9538998
90,4.2615767,-4.356985
91,4.1355753,-4.1985993
92,1.3470874,-1.412295
93,5.01935,-4.7832737
94,4.4235997,-4.54631
95,1.3772757,-1.4110234
96,3.8400643,-3.7660105
97,3.574706,-3.6106412
98,0.49455625,-0.8037432
99,4.330923,-4.444022
100,4.1342854,-4.2371993
101,1.2225096,-1.2799456
102,5.070632,-4.8464456
103,4.4631686,-4.581426
104,1.2529192,-1.2709808
105,3.9623547,-3.8285615
106,3.6945198,-3.731804
107,0.44073182,-0.7055544
108,4.236028,-4.358505
109,4.0482197,-4.160171
110,1.1264133,-1.1778033
111,4.9789124,-4.766915
112,4.4588842,-4.5468144
113,1.24627,-1.2205164
114,3.9182148,-3.8179862
115,3.736814,-3.747407
116,0.46574694,-0.698865
117,3.9157226,-4.008405
118,3.9272864,-3.9948719
119,1.2736447,-1.2926241
120,4.6474,-4.3736176
121,4.3041344,-4.394274
122,1.46768,-1.4431311
123,3.7001235,-3.582001
124,3.6634932,-3.7034528
125,0.635924,-0.8952666
126,3.7083132,-3.7819495
127,3.8506353,-3.9180138
128,1.3803118,-1.3733684
129,4.460787,-4.1326284
130,4.2332444,-4.3256893
131,1.6052269,-1.5888528
132,3.5232556,-3.3820298
133,3.6033385,-3.658382
134,0.7528418,-1.0125662
135,3.5991132,-3.6772819
136,3.7937362,-3.8904126
137,1.3443209,-1.3650064
138,4.501296,-4.1780024
139,4.271676,-4.3790445
140,1.5471835,-1.5694835
141,3.604086,-3.467374
142,3.641525,-3.6873176
143,0.72987247,-0.98743206
144,3.9995458,-4.0953307
145,4.1598883,-4.2644734
146,1.3701594,-1.4195805
147,4.995794,-4.6734242
148,4.6699953,-4.8014092
149,1.5329292,-1.5753782
150,3.9811137,-3.8608954
151,3.938716,-3.9801185
152,0.69674116,-0.9744107
153,4.8413234,-4.9492445
154,4.858023,-4.96237
155,1.4284468,-1.4848355
156,5.8837495,-5.5851703
157,5.4138904,-5.56278
158,1.5536276,-1.5920192
159,4.6949625,-4.545005
160,4.521955,-4.561675
161,0.63612247,-0.98361844
162,5.0134735,-5.1136184
163,5.1274614,-5.2009463
164,1.4974971,-1.5693936
165,6.037103,-5.7864175
166,5.67623,-5.798018
167,1.6651872,-1.6649098
168,4.6906786,-4.5649724
169,4.679627,-4.7261806
170,0.6788605,-1.0427554
171,4.9238505,-5.0248675
172,5.0884504,-5.1476874
173,1.5732398,-1.6453829
174,5.8762045,-5.6196256
175,5.614158,-5.7548265
176,1.7734094,-1.7873874
177,4.547876,-4.4370084
178,4.5920177,-4.668956
179,0.74184495,-1.1305156
180,4.5796275,-4.6879945
181,4.6495366,-4.7244973
182,1.4709522,-1.5437554
183,5.48223,-5.1850786
184,5.1157146,-5.2696157
185,1.6472441,-1.6793787
186,4.3364944,-4.214369
187,4.248109,-4.307074
188,0.6827321,-1.051146
189,4.431962,-4.523017
190,4.4187775,-4.500105
191,1.3675671,-1.445108
192,5.4124956,-5.0836186
193,4.9108253,-5.042562
194,1.5373498,-1.5952376
195,4.3600125,-4.2431335
196,4.1118546,-4.143791
197,0.66727513,-0.9885934
198,4.5704494,-4.663109
199,4.547238,-4.6253366
200,1.3803127,-1.4702599
201,5.5559564,-5.2155585
202,4.947157,-5.0508604
203,1.5308272,-1.601577
204,4.501132,-4.409627
205,4.102241,-4.1249866
206,0.6786753,-0.98888797
207,4.767889,-4.857201
208,4.757327,-4.826714
209,1.4863365,-1.5932561
210,5.729376,-5.383038
211,5.0724196,-5.1669974
212,1.6229534,-1.6940482
213,4.625746,-4.54492
214,4.154641,-4.1943154
215,0.732298,-1.0520343
216,4.870713,-4.9604235
217,4.861228,-4.930807
218,1.5309076,-1.6510272
219,5.8220096,-5.4704137
220,5.127413,-5.2195945
221,1.6576906,-1.7332767
222,4.68603,-4.605282
223,4.172694,-4.217724
224,0.74500114,-1.0680964
225,4.9157753,-5.0062594
226,4.8872175,-4.9589186
227,1.5068403,-1.6377023
228,5.867002,-5.5085053
229,5.126505,-5.2156496
230,1.6234859,-1.7031503
231,4.7264805,-4.649975
232,4.1574106,-4.1964684
233,0.7098675,-1.0357385
234,4.9704185,-5.059128
235,4.9223747,-4.996961
236,1.4849426,-1.6190372
237,5.919282,-5.5556164
238,5.1453986,-5.2350574
239,1.5905788,-1.674891
240,4.7749257,-4.703179
241,4.1599936,-4.1953096
242,0.68170387,-1.010411
243,4.9833817,-5.067851
244,4.936609,-5.011217
245,1.4733521,-1.6059693
246,5.932324,-5.5681252
247,5.156546,-5.248653
248,1.5780197,-1.6622621
249,4.7798476,-4.712641
250,4.160013,-4.194492
251,0.672088,-1.0026178
252,4.9446793,-5.024305
253,4.9304833,-5.002637
254,1.4821029,-1.6108392
255,5.8963842,-5.5358415
256,5.161642,-5.2552
257,1.5985504,-1.679526
258,4.7437468,-4.677842
259,4.1644945,-4.200489
260,0.6891244,-1.0190847
261,4.8546762,-4.931142
262,4.891712,-4.963138
263,1.4905932,-1.614206
264,5.8127522,-5.456211
265,5.140608,-5.234487
266,1.6215078,-1.6993052
267,4.680835,-4.6129537
268,4.155673,-4.1945825
269,0.7128987,-1.0396352
270,4.763013,-4.8369136
271,4.834997,-4.905173
272,1.4841329,-1.6025387
273,5.7206697,-5.367897
274,5.09651,-5.1926723
275,1.624247,-1.699096
276,4.6123576,-4.5437226
277,4.1294274,-4.1704426
278,0.7235049,-1.0473331
279,4.6986732,-4.7728767
280,4.790638,-4.8610973
281,1.4757539,-1.5879751
282,5.653193,-5.302184
283,5.05772,-5.157539
284,1.6201252,-1.6933881
285,4.560582,-4.4898105
286,4.1054764,-4.147616
287,0.72899145,-1.0489836
288,4.6576123,-4.73208
289,4.760266,-4.8304276
290,1.4709492,-1.5760871
291,5.6139402,-5.264891
292,5.039278,-5.142372
293,1.6190478,-1.690242
294,4.5276475,-4.454101
295,4.095401,-4.1354113
296,0.73345256,-1.0511686
297,4.6361704,-4.713471
298,4.746969,-4.8170023
299,1.4742236,-1.5739523
300,5.596005,-5.2490344
301,5.0348716,-5.1388016
302,1.623876,-1.6917595
303,4.50969,-4.431293
304,4.0909386,-4.1311765
305,0.73923033,-1.0557847
306,4.631655,-4.71137
307,4.7374406,-4.8090096
308,1.4797385,-1.5771325
309,5.5878034,-5.2439475
310,5.033174,-5.1363363
311,1.6281841,-1.6937392
312,4.506142,-4.4221997
313,4.0918627,-4.134301
314,0.74397075,-1.0591041
315,4.647179,-4.728785
316,4.7420216,-4.8127594
317,1.4781923,-1.5769534
318,5.595142,-5.255527
319,5.0312076,-5.130889
320,1.621705,-1.6891615
321,4.5226526,-4.4356008
322,4.092567,-4.1391554
323,0.7396039,-1.0574621
324,4.6778474,-4.7571564
325,4.7493567,-4.816955
326,1.4609584,-1.562182
327,5.6075325,-5.2713504
328,5.018963,-5.1139445
329,1.5977769,-1.6711037
330,4.541955,-4.459014
331,4.0933857,-4.1409645
332,0.7189035,-1.0436865
333,4.6997867,-4.7713337
334,4.7376337,-4.8043947
335,1.4261681,-1.5289277
336,5.5978966,-5.262139
337,4.9761386,-5.0702214
338,1.5517985,-1.6301963
339,4.533462,-4.4556766
340,4.075284,-4.119634
341,0.6874633,-1.0140265
342,4.6896,-4.759855
343,4.726156,-4.7927275
344,1.4342465,-1.538871
345,5.5958033,-5.2543387
346,4.9734187,-5.068866
347,1.5423851,-1.6275281
348,4.511805,-4.4474177
349,4.1083736,-4.146222
350,0.70137256,-1.0070192
351,4.6971145,-4.784576
352,4.7603164,-4.8286357
353,1.4888604,-1.6025403
354,5.6596494,-5.310161
355,5.054318,-5.148487
356,1.5851518,-1.6716188
357,4.5357704,-4.483729
358,4.192994,-4.2229056
359,0.73598456,-1.0316201
360,4.8340616,-4.9519587
361,4.947939,-5.0206966
362,1.5936064,-1.7181733
363,5.9125547,-5.546234
364,5.3107877,-5.410663
365,1.6916492,-1.7794281
366,4.7532606,-4.6978173
367,4.403991,-4.4217644
368,0.793342,-1.085489
369,5.114999,-5.2525373
370,5.2465854,-5.3170347
371,1.7295305,-1.8708578
372,6.3435454,-5.936758
373,5.6814513,-5.788714
374,1.8311715,-1.9162289
375,5.1234894,-5.067706
376,4.69806,-4.7085333
377,0.8384146,-1.1434535
378,5.6390047,-5.7912498
379,5.793604,-5.8449974
380,2.0176811,-2.1813755
381,6.9917545,-6.546651
382,6.220391,-6.3365827
383,2.1116574,-2.196479
384,5.673325,-5.6385193
385,5.089022,-5.104925
386,0.95935935,-1.2941301
387,6.193247,-6.3686433
388,6.2643986,-6.3402157
389,2.2163363,-2.4174132
390,7.5165668,-7.0664573
391,6.5878234,-6.6944995
392,2.3202019,-2.3859048
393,6.099639,-6.0737367
394,5.298088,-5.3342876
395,1.0036594,-1.3927824
396,6.5979643,-6.766685
397,6.564738,-6.6899786
398,2.3148575,-2.5403223
399,7.920368,-7.5117683
400,6.8366427,-6.913111
401,2.4627497,-2.523765
402,6.401602,-6.364724
403,5.4603314,-5.4758444
404,1.0217009,-1.4521344
405,6.811314,-6.9163766
406,6.5279026,-6.653781
407,2.0514073,-2.254448
408,7.915829,-7.538319
409,6.5638933,-6.599491
410,2.2004683,-2.233214
411,6.3341336,-6.309917
412,5.247464,-5.2545004
413,0.76899,-1.2547988
414,6.6171837,-6.703555
415,6.0810432,-6.1780667
416,1.7790234,-1.9609536
417,7.415925,-6.981742
418,5.9499087,-5.9735394
419,1.8561795,-1.9032549
420,5.94776,-5.88112
421,4.865157,-4.844158
422,0.6021763,-1.0447605
423,5.836227,-5.9319534
424,4.5851192,-4.6258874
425,0.79730576,-0.96945196
426,6.184398,-5.803135
427,4.3919964,-4.519334
428,0.85117674,-0.9019313
429,5.0288377,-4.9088674
430,3.7867498,-3.7191827
431,-0.007833034,-0.30853432
432,5.362213,-5.334513
433,3.7649677,-3.7664268
434,0.30915457,-0.46654034
435,5.7840075,-5.5239663
436,3.849802,-4.004059
437,0.5252437,-0.68031394
438,4.8804517,-4.6383677
439,3.4836307,-3.4159975
440,-0.05249669,-0.22536379
441,3.3417428,-3.4239416
442,1.6387727,-1.7491477
443,-0.37931353,0.23643287
444,3.479787,-3.4623392
445,1.685029,-1.7049862
446,-0.24840358,0.242773
447,3.186209,-3.0539658
448,1.7561108,-1.6725961
449,-0.54137784,0.43895993
450,5.9250193,-5.734199
451,6.1873684,-6.5444083
452,2.2927291,-2.3852746
453,6.721262,-6.542637
454,6.58709,-6.4682016
455,2.715547,-2.718564
456,6.592903,-6.778621
457,5.908613,-5.964441
458,1.2104465,-1.5918975
459,9.524912,-9.340607
460,10.182085,-10.503104
461,3.4917595,-3.4376972
462,11.766141,-11.414213
463,11.215691,-10.929457
464,4.2481956,-4.430883
465,10.688962,-10.523161
466,8.953753,-9.178172
467,2.2636728,-2.6538665
468,7.61684,-7.390965
469,8.450661,-8.695291
470,3.0533445,-3.0631428
471,9.500568,-9.095594
472,9.4001465,-9.099888
473,3.5356266,-3.738794
474,9.388416,-9.24564
475,7.936988,-7.992703
476,2.0856826,-2.4283514
477,7.983614,-7.747502
478,9.419964,-9.693332
479,3.8470597,-3.8675013
480,9.389642,-9.016142
481,9.787723,-9.573432
482,4.0001535,-4.3927345
483,9.229031,-9.027076
484,7.975058,-8.154978
485,2.4394896,-2.983579
486,7.501403,-7.287028
487,8.643707,-8.932239
488,3.4319527,-3.5017898
489,8.96792,-8.603412
490,9.049843,-8.913865
491,3.4840543,-3.8379815
492,8.48468,-8.378384
493,7.3636527,-7.475868
494,2.0527713,-2.660425
495,7.8155656,-7.6123505
496,8.258331,-8.578143
497,2.97032,-3.0402577
498,9.353706,-8.977485
499,8.87759,-8.754045
500,3.030461,-3.3720286
501,8.53739,-8.522781
502,7.318329,-7.372352
503,1.7442412,-2.306697
504,7.812256,-7.5752482
505,7.8669443,-8.23478
506,2.6568828,-2.7176611
507,9.356001,-8.979289
508,8.674718,-8.56358
509,2.7229125,-3.0984633
510,8.423938,-8.404227
511,7.196321,-7.2032456
512,1.5446875,-2.0615714
513,7.512808,-7.2370324
514,7.4577937,-7.8191037
515,2.5133963,-2.5652125
516,8.995477,-8.647802
517,8.333405,-8.236349
518,2.6142416,-3.0051143
519,8.09202,-8.064056
520,7.0028524,-6.9963284
521,1.487188,-1.9716557
522,7.0068183,-6.6984715
523,6.8530555,-7.2163324
524,2.3078096,-2.3381076
525,8.389917,-8.076983
526,7.78168,-7.701452
527,2.4473116,-2.80845
528,7.535637,-7.513828
